# This file is part of the supplement to Brune, Williams, Müller: "Potential links between continental rifting, CO2 degassing and climate change through geological time", Nature Geoscience, 2017). 
# For a discussion of how the table was constructed, see the supplementary material of the publication above.
# A map of all rifts including their Region, ID, Time, and Length (visualized via circle size) is provided as separate supplementary figure.
# The table is based on the rift compilation of Şengör, A.M.C., and Natal’in, B.A., 2001: "Rifts of the World", Geological Society of America Special Papers, v. 352, p.389-482, doi: 10.1130/0-8137-2352-3.389
# 
Region,ID,Long_Min,Long_Max,Lat_Min,Lat_Max,Orientation,Name,Length,Width,Old_Age,Young_Age,Kinematic_Type_1,Geometric_Type_1,Kinematic_Type_2,Geometric_Type_2
EEUR,71a,-174,-170,65,67,340,Koolen,210,100,middle Cretaceous,,k42,,,
EEUR,71b,-166,-163,65,,90,Seward,175,25,middle Cretaceous,,k42,,,
EEUR,72,79.5,82.5,15,17,NE,Krishna-Godavari,350,80,early Cretaceous,,k1,g2,,
EEUR,73,86.5,,20.5,,ENE,Mahanadi,200,100,Early Cretaceous,,k1,g2,,
EEUR,74,87,89,20,24,NNE,West Bengal,650,150,Early Cretaceous,,k1,g2,,
EEUR,75,88,92,22,25,NNE,Faridpur,350,125,Early Cretaceous,,k1,g2,,
EEUR,76,78.5,80,9,12,NE,Cauvery,400,80,Latest Jurassic,Earliest Cretaceous,k1,g2,,
EEUR,77,79,,9.5,,NE,Palk Strait,100,40,Latest Jurassic,Earliest Cretaceous,k1,g2,,
EEUR,78,79.25,80.25,14,16,NE,Palar,150,40,Latest Jurassic,Earliest Cretaceous,k1,g2,,
EEUR,79,128,130,49,52,"30,80,50",Amursk,250,150,Late Jurassic,Early Cretaceous,k41,,k31,
EEUR,80,120,127,42,49,35,Songliao,850,340,Late Jurassic,Early Cretaceous,k41,,k31,
EEUR,81,108,119,42,45,"90,60",Erenhot,1050,280,Jurassic,Early Cretaceous,k3,,,
EEUR,82,106,121,47,55,"60,25",Transbaykalian,1150,500,Late Jurassic,Early Cretaceous,k32,g4,,
EEUR,82a,116,120,46,49,35,Hailar,260,240,Jurassic,Early Cretaceous,k3,,,
EEUR,83,112,117,32,34,90,Xuefeng,500,250,Late Jurassic,Early Cretaceous,k31,g4,,
EEUR,84,111,118,26,32,40,Jianghan,800,550,Late Jurassic,Early Cretaceous,k32,g4,k31,g4
EEUR,85,44,48,15,16,NE,Shabwa,100,50,,,k1,g2,,
EEUR,86,44,48,13,16,NW,Marib,500,50,,,k1,g2,,
EEUR,87,62,64,49,50,20,Karaastay,150,50,Triassic,Jurassic,k32,g1,,
EEUR,88,79,83,45,47,305,Alakol,350,100,Late Triassic,Early Jurassic,k31,g4,,
EEUR,89,40,42,34.5,,E,Anah,200,50,Late Triassic,,k33,g1,,
EEUR,90,39,40,34.33,36,NW,Euphrates,200,100,Late Triassic,,k33,g1,,
EEUR,91,87,88,24,26,N,Rajmahal,220,60,Middle Triassic,,k411,g3,k32,g3
EEUR,92,73,80,22,,ENE,Narmada-Son,700,50,,,k411,g3,k32,g3
EEUR,93,69,,23.5,,E,Kutch,200,100,Late Triassic,Early Jurassic,k1,g2,,
EEUR,94,63,68,59,64,35,Sherkala,550,60,Early Triassic,Middle Triassic,k31,g3,,
EEUR,95,62,64,54,57,20,Chelyabinsk,300,150,Early Triassic,Middle Triassic,k32,g3,,
EEUR,96,64,67,52,56,25,Kustanay,400,150,Early Triassic,Middle Triassic,k32,g1,,
EEUR,97,65,66,50,52,25,Kyzyltal-Mkhat,200,45,Early Triassic,Middle Triassic,k32,g1,,
EEUR,98a,76,78,57,72,"0,20",Koltogor-Urengoy,500,80,Triassic,,k31,g3,,
EEUR,98b,75,78,64,68,350,Khuduttey,500,40,Triassic,,k31,g3,,
EEUR,98c,67,73,67,70,330,Yamal,350,50,Triassic,,k31,g3,,
EEUR,98d,84,,62,69,0,Khudoseysky,750,50,Triassic,,k31,g3,,
EEUR,98e,78,80,58,60,30,Ust-Tymsky,250,15,Triassic,,k31,g3,,
EEUR,98f,79,81,57,58,45,Chuziksky,200,20,Triassic,,k31,g3,,
EEUR,98g,69,78,59,63,40,Agansky,650,50,Triassic,,k31,g3,,
EEUR,99,32,,32,,ENE,North Sinai,100,90,Permian,Triassic,k411,g3,k1,g2
EEUR,100,34,36,31,34.5,"N,NNE",Levant,400,25,Permian,Triassic,k31,g3,,
